file_name,length_samples,zero_crossings_rate_mean,zero_crossings_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,spectral_centroid_mean,spectral_centroid_var,rolloff_mean,rolloff_var,spectral_bandwidth_mean,spectral_bandwidth_var,chroma_mean,chroma_var,rms_mean,rms_var,mfcc_mean_1,mfcc_var_1,mfcc_mean_2,mfcc_var_2,mfcc_mean_3,mfcc_var_3,mfcc_mean_4,mfcc_var_4,mfcc_mean_5,mfcc_var_5,mfcc_mean_6,mfcc_var_6,mfcc_mean_7,mfcc_var_7,mfcc_mean_8,mfcc_var_8,mfcc_mean_9,mfcc_var_9,mfcc_mean_10,mfcc_var_10,mfcc_mean_11,mfcc_var_11,mfcc_mean_12,mfcc_var_12,mfcc_mean_13,mfcc_var_13,mfcc_mean_14,mfcc_var_14,mfcc_mean_15,mfcc_var_15,mfcc_mean_16,mfcc_var_16,mfcc_mean_17,mfcc_var_17,mfcc_mean_18,mfcc_var_18,mfcc_mean_19,mfcc_var_19,mfcc_mean_20,mfcc_var_20
blues.00000.wav,661794,0.08315427459300023,0.07623964120991217,-4.906637e-05,0.008172463,-1.0618455e-05,0.005704438,123.046875,1784.1226412753101,129745.48441929805,3805.7230301080335,901252.916706492,2002.4124072733878,85834.41040579001,0.35303667,0.08803292,0.13018432,0.00282838,-113.59882,2569.3696,121.57067,295.8471,-19.162262,235.58444,42.363937,151.03873,-6.362266,167.99289,18.621931,89.17242,-13.699734,67.60309,15.339802,69.001495,-12.274305,82.21984,10.970944,63.346535,-8.326061,61.76499,8.802088,51.280754,-3.6699407,41.215897,5.744675,40.517525,-5.162783,49.784233,0.75170654,52.424534,-1.687854,36.535866,-0.40872997,41.60317,-2.3026767,55.053654,1.2224671,46.94135
blues.00001.wav,661794,0.05611867136903629,0.0529693660928104,0.00014128134,0.0051013343,-0.00017962353,0.0030642096,67.99958881578948,1530.2617669893777,375915.5087781224,3550.7136156830047,2978310.9040219653,2038.9876082704006,213905.10319118324,0.32691783,0.09639607,0.09590782,0.00237272,-207.52383,7769.1045,123.98514,559.91345,8.947019,572.3363,35.86715,264.7167,2.9095943,279.97607,21.519474,156.36682,-8.556513,200.80203,23.370676,142.56712,-10.103608,166.11464,11.899242,104.35725,-5.558824,105.15637,5.3778763,96.20453,-2.234492,64.87307,4.220704,73.15042,-6.0106864,52.429462,0.92929417,55.337963,-0.7284029,60.231407,0.29687247,48.133217,-0.28243035,51.106014,0.53064436,45.7887
blues.00002.wav,661794,0.07640292900812035,0.07056552144710049,-1.8167901e-06,0.016344344,-2.0188563e-05,0.0074642007,161.4990234375,1552.832481434823,156471.01090394377,3042.4101154654873,784130.8743978116,1747.754086849524,76295.41339810399,0.36542428,0.08785065,0.17547321,0.002750858,-90.757164,3317.887,140.44087,508.85614,-29.084547,412.06442,31.686693,143.95422,-13.976547,155.66135,25.753752,74.391716,-13.66499,106.84102,11.634442,106.52026,-11.778322,65.48224,9.714756,67.84235,-13.125314,57.67196,5.791247,64.49476,-8.901966,60.390575,-1.08016,57.69023,-9.226244,36.514374,2.4483044,40.641678,-7.7248397,47.629646,-1.819024,52.393604,-3.4404573,46.6434,-2.2381277,30.65315
blues.00003.wav,661794,0.03335932329395552,0.03224647884332488,3.6126078e-06,0.019055042,-1.8110986e-05,0.0027113643,63.02400914634146,1070.1534175250665,184366.00943826674,2184.8790286035382,1493077.8489404472,1596.422564453577,166551.84424342896,0.4262787,0.094975464,0.14104027,0.006347602,-199.57513,5508.2666,150.0861,456.30908,5.663404,257.10977,26.855282,158.36113,1.7700713,267.97372,14.232647,126.80741,-4.8278456,155.94673,9.286853,81.2703,-0.75612015,92.3018,8.134435,71.381836,-3.200026,110.269356,6.078081,48.214516,-2.478445,56.776222,-1.0815872,62.243004,-2.874454,51.60982,0.77399397,44.432903,-3.3240688,50.218452,0.63631064,37.325726,-0.61596763,37.257774,-3.405046,31.965254
blues.00004.wav,661794,0.10157994783875345,0.09126146203582958,-1.8459656e-05,0.004814488,-9.545053e-06,0.0030943628,135.99917763157896,1835.12851277257,343249.4957463224,3579.9574708164155,1572336.2989541132,1748.4107584538087,88378.70447779392,0.3042619,0.08738557,0.09150122,0.002305285,-160.35417,5199.1035,126.20948,853.27124,-35.581394,334.03235,22.139256,193.75323,-32.47355,336.4254,10.850702,134.86504,-23.35007,93.29354,0.49324903,124.73352,-11.796538,129.97539,1.2035191,99.71714,-13.084959,80.24316,-2.8104994,86.4365,-6.9344707,89.548325,-7.5538754,70.91569,-9.167669,75.75422,-4.515863,85.99519,-5.451786,75.27674,-0.9159524,53.633236,-4.4080176,62.882484,-11.704385,55.190254
blues.00005.wav,661794,0.09417734219409665,0.08530797041135264,2.107256e-06,0.008084325,-2.761937e-05,0.0032444787,69.83741554054055,1832.0115969728529,1030483.8309546004,3481.4676306917054,3274386.1962247384,1729.5808044661662,201846.07399724112,0.3012471,0.08802505,0.103452876,0.0039811623,-177.80174,7307.454,118.20316,3195.2058,-17.57063,654.1079,30.760927,485.68988,-21.742554,433.27664,11.919263,266.4076,-20.734299,169.70601,3.1852882,133.70338,-8.580818,172.22575,-0.9328853,100.12101,-11.772245,76.55475,-2.408764,78.802635,-9.348446,80.10772,-9.942636,47.534428,-3.9021835,60.0207,-5.574562,72.57674,-1.8393143,68.66612,-2.7893167,42.470524,-3.0478048,39.803387,-8.109732,46.282936
blues.00006.wav,661794,0.07317836063790242,0.06782328817225153,-1.174954e-05,0.016931476,-2.0181778e-05,0.005955405,71.77734375,1459.4696908114731,438024.99880254397,2795.910729498985,1621507.809656879,1389.0684455566097,185156.3212288554,0.29867062,0.09365595,0.14175196,0.008782076,-190.0688,9653.348,130.27023,1933.7037,-36.362114,1307.0305,33.036213,480.1932,11.093892,1082.9683,-0.5918819,280.1115,-20.890266,151.6834,0.27844232,102.85332,-6.496385,131.09851,-5.5127354,153.40236,-7.847404,87.5064,-3.1243007,64.21006,-6.6028214,79.14686,-9.95,63.038445,-6.5426893,86.344986,-10.072228,83.25455,-10.918623,56.950497,-6.9652433,38.267097,-3.4394317,48.16364,-6.484499,70.21345
blues.00007.wav,661794,0.06154483117102905,0.057757064927158604,1.8550036e-05,0.013231742,-4.8325466e-05,0.0048369183,92.28515625,1451.859413795751,449601.6407278994,2955.3197165929523,1629557.4144231493,1577.5671157628285,168197.59942733965,0.3172422,0.094850086,0.13176751,0.0055319313,-179.3723,6573.5034,136.44833,1479.0457,-26.662588,591.20874,39.96545,353.4062,5.3108945,650.08966,10.919133,136.28798,-20.559534,163.69316,8.503361,151.28441,-11.349764,171.91977,-3.4705548,178.22743,-8.415843,147.56088,-6.957211,83.71853,-3.5460427,93.2653,-8.051759,57.423862,-8.964918,82.259476,-8.427482,70.46944,-10.5642805,52.018356,-10.785658,60.507183,-4.6954694,65.581085,-8.631641,56.38694
blues.00008.wav,661794,0.06411965052569228,0.06000832094215537,-1.5161384e-06,0.012705841,-2.0980313e-05,0.003465587,83.35433467741936,1719.4633657271252,163308.4331688299,3782.441190998405,1262984.5682501604,2031.8293659117528,105565.92425351423,0.41378716,0.088279456,0.14232728,0.0015031187,-121.38979,2619.6743,122.49833,414.5375,-14.734729,341.22403,46.12214,193.91731,-8.179258,177.07607,20.172466,106.9469,-19.171894,57.659283,23.036839,77.15471,-11.832729,42.568737,21.154655,58.8517,-6.7227974,48.918488,6.989506,56.535202,-12.730551,61.94805,5.0585384,50.547115,-5.1858068,33.02635,-1.4536041,50.578175,-7.042629,28.908443,2.694213,36.89612,3.4095314,33.671597,-2.7137442,36.34232
blues.00009.wav,661794,0.07925880258811654,0.07297684480041451,-4.3618625e-06,0.007221093,-2.422374e-05,0.0016771486,80.74951171875,1817.2305900912738,298141.42440857505,3943.8319655416185,1366784.3467715923,1973.7920387617455,114140.14452080824,0.27631918,0.0928686,0.08128055,0.004346177,-213.26424,6132.9727,115.16476,798.2638,-11.69817,669.0846,39.015358,350.93393,-20.34833,531.99756,13.082702,278.2447,-9.182699,126.45182,9.017152,67.96417,-14.104312,110.09561,4.271254,92.602684,-6.0507803,84.85938,3.7858355,104.41364,0.22263548,76.34565,-5.106882,85.42631,-0.41015333,103.98576,-1.1793449,59.323406,-1.9147079,58.461437,-2.2936609,83.12304,2.8842604,77.04225,-4.2338796,91.44655
